Afghanistan	KANDAHAR AIRPORT;21.4	KANDAHAR AIRPORT;28.4	Mazar-I-Sharif;14.3	KABUL AIRPORT;271.02	Mazar-I-Sharif;13.2	Mazar-I-Sharif;87.0	KABUL AIRPORT;30.0	KABUL AIRPORT;35.0	KUNDUZ;39.0	KUNDUZ;1.0	KABUL AIRPORT;5.0
French Polynesia	TAKAROA;28.4	ATUONA;31.5	TAKAROA;25.9	ATUONA;4519.44	Hao;25.2	RAPA;206.0	Bora-Bora;2.0	Tahiti-Faaa;77.0	Tahiti-Faaa;5.0	Bora-Bora;2.0	Tubuai;2.0
Gabon	Port-Gentil;27.4	Lambarene;31.0	Port-Gentil;24.6	Libreville;2450.9	Port-Gentil;14.7	Libreville;236.0	BOGUS GABONNAISE;1.0	Libreville;220.0	BOGUS GABONNAISE;76.0	Libreville;1.0	Port-Gentil;2.0
Georgia	Tbilisi;14.5	Tbilisi;20.5	Tbilisi;9.5	Tbilisi;2938.03	Tbilisi;30.0	Tbilisi;132.0	Tbilisi;50.0	Tbilisi;45.0	Tbilisi;37.0	Tbilisi;1.0	Tbilisi;2.0
Germany	Monchengladbach;13.4	Baden Wurttemberg, Lahr (CAN-AFB);17.2	Monchengladbach;9.3	ZUGSPITZE MOUNTAIN;2573.33	BROCKEN (PEAK);47.1	EMDENFLUGPLATZ;286.0	ZUGSPITZE MOUNTAIN;226.0	Laupheim;64.0	Frankfurt / M-Flughafen;355.0	Eggebek;15.0	HELGOLAND/DUNE;37.0
Ghana	Accra;28.1	Accra;31.7	Accra;25.1	EMPTY;0.0	Accra;16.8	Accra;134.0	EMPTY;0.0	Accra;69.0	Accra;65.0	EMPTY;0.0	EMPTY;0.0
Gibraltar	Gibraltar;19.3	Gibraltar;22.5	Gibraltar;16.2	Gibraltar;1885.9	Gibraltar;22.3	Gibraltar;136.0	Gibraltar;2.0	Gibraltar;33.0	Gibraltar;44.0	Gibraltar;1.0	Gibraltar;4.0
Greece	Karpathos Airport;21.0	Kalamata Airport;24.0	Syros Airport;18.5	Kerkyra Airport;1636.31	Mikonos Island, Mikonos Airport;31.9	Karpathos Airport;350.0	FLORINA;34.0	Kerkyra Airport;85.0	SOUDA BAY CRETE;158.0	Andravida Airport;2.0	Heraklion Airport;11.0
Greenland	Narsarsuaq;5.4	Narsarsuaq;10.1	DYNJANDIHEIDI;3.4	Prins Christian Sund;2948.14	NUNARSUIT;37.5	Prins Christian Sund;240.0	Thule A. B.;222.0	IKERMIUARSUK;42.0	DYE 1 (RED RIVER);179.0	Danmarkshavn;1.0	Egedesminde;12.0
Grenada	Point Salines Airport;27.9	Point Salines Airport;31.3	Point Salines Airport;24.6	Point Salines Airport;1297.4	Point Salines Airport;22.4	Point Salines Airport;254.0	Point Salines Airport;2.0	Point Salines Airport;33.0	Point Salines Airport;1.0	Point Salines Airport;1.0	Point Salines Airport;3.0
Guadeloupe	Le Raizet, Guadeloupe;27.0	Le Raizet, Guadeloupe;31.5	Le Raizet, Guadeloupe;23.2	Le Raizet, Guadeloupe;2248.44	Le Raizet, Guadeloupe;13.4	Le Raizet, Guadeloupe;266.0	Le Raizet, Guadeloupe;2.0	Le Raizet, Guadeloupe;64.0	Le Raizet, Guadeloupe;18.0	Le Raizet, Guadeloupe;1.0	Le Raizet, Guadeloupe;2.0
Guatemala	Zacapa;29.6	Zacapa;34.0	Zacapa;23.2	San Jose;2080.76	Guatemala Aeropuertola Aurora;20.5	Puerto Barrios;212.0	Quezaltenango;2.0	Retalhuleu;199.0	Guatemala Aeropuertola Aurora;130.0	Puerto Barrios;2.0	Guatemala Aeropuertola Aurora;2.0
Guinea	Conakry / Gbessia;27.7	Conakry / Gbessia;31.4	Conakry / Gbessia;24.5	Conakry / Gbessia;1496.85	Conakry / Gbessia;12.7	Conakry / Gbessia;142.0	Conakry / Gbessia;3.0	Conakry / Gbessia;128.0	Conakry / Gbessia;2.0	Conakry / Gbessia;1.0	Conakry / Gbessia;2.0
Guinea-Bissau	EMPTY;-999999.0	EMPTY;-999999.0	EMPTY;-999999.0	EMPTY;0.0	EMPTY;0.0	Bissau Aeroport;88.0	EMPTY;0.0	Bissau Aeroport;92.0	Bissau Aeroport;15.0	EMPTY;0.0	EMPTY;0.0
Guyana	GEORGETOWN;26.6	GEORGETOWN;31.8	GEORGETOWN;23.0	GEORGETOWN;3024.93	GEORGETOWN;10.7	GEORGETOWN;260.0	EMPTY;0.0	GEORGETOWN;138.0	GEORGETOWN;187.0	GEORGETOWN;1.0	EMPTY;0.0
Haiti	Port-Au-Prince / Aeroport International;29.5	Port-Au-Prince / Aeroport International;32.7	Port-Au-Prince / Aeroport International;25.6	UEGA;1340.1	Port-Au-Prince / Aeroport International;15.6	Port-Au-Prince / Aeroport International;140.0	UEGA;71.0	Port-Au-Prince / Aeroport International;106.0	UEGA;31.0	EMPTY;0.0	Port-Au-Prince / Aeroport International;7.0
Honduras	Choluteca;31.5	Choluteca;36.5	Amapala;26.0	La Ceiba Airport;3084.6	Roatan;19.6	Santa Rosa De Copan;200.0	La Ceiba Airport;2.0	Choluteca;144.0	Catacamas;117.0	La Mesa San Pedro Sula;3.0	La Mesa San Pedro Sula;4.0
Hong Kong	Hong Kong Inter-National Airport;25.1	Hong Kong Inter-National Airport;27.8	Hong Kong Inter-National Airport;22.3	Hong Kong Inter-National Airport;2887.7	Hong Kong Inter-National Airport;17.7	Hong Kong Inter-National Airport;222.0	Hong Kong Inter-National Airport;1.0	Hong Kong Inter-National Airport;51.0	Hong Kong Inter-National Airport;21.0	Hong Kong Inter-National Airport;1.0	Hong Kong Inter-National Airport;2.0
